2025-11-15 14:40:38,332 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=20251024, items=30 >
2025-11-15 14:40:38,334 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=20251103, items=34 >
2025-11-15 14:40:38,335 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=20251107, items=25 >
2025-11-15 14:40:56,730 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-01, items=40 >
2025-11-15 14:40:56,733 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-08, items=35 >
2025-11-15 14:40:56,735 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-15, items=36 >
2025-11-15 14:40:56,737 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-22, items=41 >
2025-11-15 14:40:56,739 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-29, items=43 >
2025-11-15 14:40:56,740 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=20251024, items=35 >
2025-11-15 14:40:56,742 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=20251103, items=27 >
2025-11-15 14:40:56,744 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=20251107, items=37 >
2025-11-15 14:40:56,746 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-01, items=47 >
2025-11-15 14:40:56,747 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-08, items=42 >
2025-11-15 14:40:56,749 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-15, items=53 >
2025-11-15 14:40:56,750 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-22, items=39 >
2025-11-15 14:40:56,752 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-29, items=37 >
2025-11-15 14:40:56,754 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=20251024, items=38 >
2025-11-15 14:40:56,756 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=20251103, items=37 >
2025-11-15 14:40:56,757 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=20251107, items=34 >
2025-11-15 14:40:56,759 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-01, items=38 >
2025-11-15 14:40:56,761 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-08, items=46 >
2025-11-15 14:40:56,762 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-16, items=45 >
2025-11-15 14:40:56,764 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-21, items=36 >
2025-11-15 14:40:56,766 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-28, items=37 >
2025-11-15 14:40:56,767 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=20251024, items=24 >
2025-11-15 14:40:56,769 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=20251103, items=43 >
2025-11-15 14:40:56,771 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=20251106, items=32 >
2025-11-15 14:40:56,772 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Syracuse, date=20251107, items=20 >
2025-11-15 14:40:56,774 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-01, items=29 >
2025-11-15 14:40:56,776 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-07, items=36 >
2025-11-15 14:40:56,778 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-15, items=32 >
2025-11-15 14:40:56,780 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-22, items=29 >
2025-11-15 14:40:56,783 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-29, items=29 >
2025-11-15 14:40:56,785 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=20251024, items=30 >
2025-11-15 14:40:56,787 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=20251103, items=34 >
2025-11-15 14:40:56,789 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=20251107, items=25 >
2025-11-15 14:42:39,791 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=20251114, items=3 >
2025-11-16 14:12:32,786 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Syracuse, date=20251114, items=18 >
